ID,Coordinates (X),Coordinates (Y),Coordinates (Z),Region,Location,Puzzle Type,Description,Found
HE-144,-3047,2346,0113,Hebra,Corvash Peak,Build Puzzle,Hebra Plunge north dock,FALSE
HE-145,-3328,2302,0403,Hebra,Corvash Peak,Light Ring,On the hilltop,FALSE
HE-146,-3424,2067,0164,Hebra,Corvash Peak,Ascend Through Stump,Under the cliff,FALSE
HE-147,-3086,2121,0121,Hebra,Hebra Plunge,Lift Rock,Atop a column in the water,FALSE
HE-148,-2837,2318,0391,Hebra,Hebra Headspring,Find Friend,Bring his friend back,FALSE
HE-149,2371,3020,0441,Hebra,Hebra Headspring,Find Friend,Bring him to his friend above on the cliff,FALSE
HE-150,-2737,2267,0353,Hebra,Hebra Falls,Hanging Pot,Under the bridge,FALSE
HE-151,-2796,1948,0273,Hebra,Hebra Plunge,Rock Pattern,Small island in lake,FALSE
HE-152,-2636,2056,0338,Hebra,Hebra Plunge,Block Puzzle,Island under the rocky peak. Cross the freezing water using Recall on submerged stones or sky debris from the surrounding area,FALSE
HE-153,-2818,-1598,-0019,Hebra,Tanagar Canyon,Block Puzzle,Complete the fixture,FALSE
HE-154,-2666,1664,0268,Hebra,Tabantha Hills,Chase Lights,On top of the house's chimney,FALSE
HE-155,-2528,1849,0284,Hebra,Tabantha Hills,Shoot Target,Acorn hanging of the hillside by a chain,FALSE
HE-156,-2296,1908,0294,Hebra,Tabantha Village Ruins,Shoot Target,Shoot the acorn hanging inside the hollow log,FALSE
HE-157,-2382,2133,0393,Hebra,Kopeeki Drifts,Shoot Target,Pinwheel on top of the mountain,FALSE
HE-158,-2270,2287,0324,Hebra,Kopeeki Drifts,Lift Rock,Place the boulder in the tree holder,FALSE
HE-159,-2207,2090,0323,Hebra,Tabantha Village Ruins,Build Puzzle,"South of village, Make a roof on the makeshift structure with the two stone statues in it",FALSE
HE-160,-2074,2077,0285,Hebra,South Tagantha Snowfield,Shoot Target,Shoot the pot hanging from the destroyed building,FALSE
HE-161,-2603,3233,0387,Hebra,Pikida Stonegrove,Rock Pattern,Around a tree,FALSE
HE-162,-2481,2748,0511,Hebra,Hebra Peak,Build Puzzle,On top of one of the southeast cliffs of Hebra Peak,FALSE
HE-163,-2357,3675,0274,Hebra,North Tabantha Snowfield,Shoot Target,Shoot the balloon,FALSE
HE-164,2372,3018,0441,Hebra,Pikida Stonegrove,Find Friend,Bring the nearby Korok to his friend at this camp,FALSE
HE-165,-2335,2956,0404,Hebra,Pikida Stonegrove,Find Friend,Bring him to his friend to the north-west,FALSE
HE-166,-1971,3794,0313,Hebra,North Tabantha Snowfield,Lift Rock,Lift the rock on small peak near ede,FALSE
HE-167,-1666,3766,0240,Hebra,North Tabantha Snowfield,Chase Lights,Interact with moving sparkles on the ground,FALSE
HE-168,-1761,3553,0234,Hebra,North Tabantha Snowfield,Lift Rock,Under a single stone inside the Geoglyph,FALSE
HE-169,-1971,3115,0352,Hebra,Tabantha Tundra,Glide to Stump,On the hilltop,FALSE
HE-170,-2080,2589,0301,Hebra,Tabantha Tundra,Rock Pattern,Under the Cliff ledge,FALSE
HE-171,-1811,2197,0273,Hebra,South Tagantha Snowfield,Lift Rock,On top of the the Monster Fortress,FALSE
HE-172,-1580,2133,-0038,Hebra,Tanagar Canyon,Shoot Target,Top of the pillar,FALSE
HE-173,-1459,2365,0138,Hebra,Tanagar Canyon,Lift Rock,On top of the cliff hanging over the Forgotten Temple. Put rock in frame,FALSE
HE-174,-1648,2439,0237,Hebra,Snowfield Stable,Offer Item,"South of Snowfield Stable, Offer a second Ice Fruit to the second statue",FALSE
HE-175,-1720,2556,0229,Hebra,Snowfield Stable,Ascend Through Stump,"West of Snowfield Stable, Korok Pedestal under the Stone",FALSE
HE-176,-1348,2791,0203,Hebra,Snowfield Stable,Find Friend,Bring this korok to his friend for 2 seeds,FALSE
HE-177,-1349,2791,0203,Hebra,South Tagantha Snowfield,Find Friend,Bring his friend back,FALSE
HE-178,-1384,3631,0256,Hebra,North Tabantha Snowfield,Find Friend,On the same hill as the nearby shrine,FALSE
HE-179,-1208,3601,0190,Hebra,North Tabantha Snowfield,Build Puzzle,Complete the statue,FALSE
HE-180,-1033,3519,0229,Hebra,North Lomei Labyrinth,Find Friend,"In front of the labyrinth, right next to a Hudson pile of material",FALSE
HE-181,-1092,3401,0305,Hebra,North Lomei Labyrinth,Rock Pattern,Complete the Stone path,FALSE
HE-182,-0687,3535,0284,Hebra,North Lomei Labyrinth,Shoot Target,"On the furthest east edge of the labyrinth, on top of the wall",FALSE
HE-183,-0874,3313,0223,Hebra,North Lomei Labyrinth,Shoot Target,Inside the tree trunk,FALSE
HE-184,-1117,3039,3039,Hebra,Mount Drena,Lift Rock,Put the Boulder in the branch,FALSE
HE-185,-0995,3085,0200,Hebra,Mount Drena,Ascend Through Stump,Ascend through marker,FALSE
GE-186,-4909,-3775,-0031,Gerudo,Gerudo Desert,Scatter Leaves and Lift Rock,In one of the nostrils of the underground Gerudo Great Skeleton,FALSE
GE-187,-4875,-3565,0040,Gerudo,Gerudo Desert,Find Friend,Small tent marked with a green smoke trail rising into the sky,FALSE
GE-188,-4614,-3198,0037,Gerudo,Gerudo Desert,Find Friend,On a stone outcrop in the middle of the open,FALSE
GE-189,-2547,-3952,0035,Gerudo,Gerudo Desert,Flowers,"On top of a pillar, which is on top of a plateau",FALSE
GE-190,-2544,-3928,0014,Gerudo,Gerudo Desert,Find Friend,Below the little plateau,FALSE
GE-191,-2493,-3347,0026,Gerudo,Gerudo Desert,Find Friend,Near a cliff,FALSE
GE-192,-3742,-3479,0017,Gerudo,Gerudo Desert,Find Friend,Near the Southern Oasis,FALSE
GE-193,-3816,-3126,0051,Gerudo,Gerudo Desert,Find Friend,"South of Gerudo Town's, on a sand hill",FALSE
GE-194,-3859,-3017,0085,Gerudo,Gerudo Desert,Light Ring,Stand on Korok stump and Run to the West corner of Gerudo town's walls,FALSE
GE-195,-3422,-3119,0084,Gerudo,Gerudo Desert,Glide to Stump,Atop the ladder platform to the side of the building,FALSE
GE-196,-2427,-3264,0044,Gerudo,Gerudo Desert,Chase Lights,"On top of the small plateau, near the small bushes",FALSE
GE-197,-2732,-2820,0035,Gerudo,Gerudo Desert,Light Ring,"On the hilt of the big sword to the east, Race back over with a rocket shield and get up high to the finish point",FALSE
GE-198,-3078,-3045,0014,Gerudo,Gerudo Desert,Find Friend,Bring his friend back,FALSE
GE-199,-3343,-3054,0040,Gerudo,Gerudo Desert,Find Friend,On top of stone wall,FALSE
GE-200,-3588,-3029,0052,Gerudo,Gerudo Desert,Flowers,Underneath the ruins on the North side,FALSE
GE-201,-3610,-2844,0070,Gerudo,Gerudo Desert,Flowers,Above the small building,FALSE
GE-202,-3854,-2862,0060,Gerudo,Gerudo Desert,Chase Lights,On top of a blue chimney,FALSE
GE-203,-3827,-2859,0026,Gerudo,Gerudo Desert,Ascend Through Stump,Inside the Gerudo Shelter Entrance - let the stream carry you down to the bottom,FALSE
GE-204,-3266,-2609,0120,Gerudo,Gerudo Desert,Chase Lights,On the tallest tower,FALSE
GE-205,-3315,-2461,0029,Gerudo,Gerudo Desert,Find Friend,Northwest of the Kara Kara Bazaar,FALSE
GE-206,-2984,-2326,0025,Gerudo,Gerudo Desert,Find Friend,Just outside the Sand-Seal Rental Shop,FALSE
GE-207,-3318,-2276,0075,Gerudo,Gerudo Desert,Rock Pattern,"Finish the rock puzzle. Use Ultrahand on the bolder to the south, on the ledge below",FALSE
GE-208,-3319,-2164,0039,Gerudo,Gerudo Desert,Chase Lights,On top of a cliff,FALSE
GE-209,-3757,-2442,0058,Gerudo,Gerudo Desert,Ascend Through Stump,On the elevated archway toward the northern end of the area,FALSE
GE-210,-3749,-2287,0078,Gerudo,Gerudo Desert,Lift Rock,Northern Icehouse,FALSE
GE-211,-4136,-2581,0053,Gerudo,Gerudo Desert,Chase Lights,Interact with the sparkling that is moving in a circle,FALSE
GE-212,-4136,-2259,0045,Gerudo,Gerudo Desert,Find Friend,On a rock platform surrounded by flowing sands,FALSE
GE-213,-4320,-1862,0065,Gerudo,Karusa Valley,Find Friend,Bring his friend back,FALSE
GE-214,-4592,-2348,0051,Gerudo,West Gerudo Ruins,Ascend Through Stump,Ascend through the Korok log under the bone,FALSE
GE-215,-4423,-2265,0059,Gerudo,West Gerudo Ruins,Flowers,Follow the flower from the top of the pillar to the ground,FALSE
GE-216,-4710,-2163,0100,Gerudo,Gerudo Desert,Flowers,Top of skeleton,FALSE
GE-217,-4482,-2133,0068,Gerudo,Gerudo Desert,Glide to Stump,Top of the platform,FALSE
GE-218,-4686,-1963,0059,Gerudo,Gerudo Desert,Shoot Target,Pinwheel on top of the bones,FALSE
GE-219,-4393,-2015,0096,Gerudo,Karusa Valley,Build Puzzle,Put 'L' Shape in the cube shape,FALSE
GE-220,-4909,-1246,0452,Gerudo,Mount Agaat,Block Puzzle,In the canyon,FALSE
GE-221,-4691,-1235,0522,Gerudo,Mount Agaat,Chase Lights,On top of a tree,FALSE
GE-222,-4538,-1348,0528,Gerudo,Risoka Snowfield,Find Friend,Bring him to his Friend located North of here,FALSE
GE-223,-4508,-0590,0510,Gerudo,Mount Agaat,Find Friend,Bring his friend,FALSE
GE-224,-4420,-0352,0515,Gerudo,Mount Agaat,Lift Rock,"On the cliffside, near the smooth rocks, place boulder in tree stump",FALSE
GE-225,-4376,-0525,0451,Gerudo,Statue of the Eighth Heroine,Lift Rock,On a ledge of the Statue of the Eighth Heroine slightly beneath the broken head,FALSE
GE-226,-4389,-0714,0563,Gerudo,Risoka Snowfield,Shoot Target,To the back right-hand side of the shrine under an arch,FALSE
GE-227,-4321,-1089,0523,Gerudo,Risoka Snowfield,Rock Pattern,On the mountain,FALSE
GE-228,-4361,-1848,0089,Gerudo,Karusa Valley,Shoot Target,Acorn hanging below the arch,FALSE
GE-229,-4149,-1932,0102,Gerudo,Karusa Valley,Lift Rock,At the bottom of the crevice,FALSE
GE-230,-3968,-0324,0446,Gerudo,Hemaar's Descent,Build Puzzle,Build a roof over the statues with the nearby materials,FALSE
GE-231,-3969,-0610,0657,Gerudo,Gerudo Summit,Chase Lights,Between three trees,FALSE
GE-232,-4002,-0968,0714,Gerudo,Gerudo Summit,Lift Rock,On the hilt of the Forgotten Sword of the Eight Heroine near the Frost Gleeok,FALSE
GE-233,-3621,-0403,0239,Gerudo,Mystathi's Shelf,Light Ring,"Starting stump on the lower platform, get to the top in time",FALSE
GE-234,-3567,-0735,0556,Gerudo,Cliffs of Ruvara,Rock Pattern,Ledge on edge of the cliff,FALSE
GE-235,-3143,-0620,0200,Gerudo,Cliffs of Ruvara,Find Friend,Bring his friend back from the top of the hill,FALSE
GE-236,-3810,-0790,0548,Gerudo,Cliffs of Ruvara,Lift Rock,Ledge on the side of a cliff,FALSE
GE-237,-3722,-0802,0641,Gerudo,Gerudo Summit,Light Ring,On top of the small plateau,FALSE
GE-238,-3359,-0916,0506,Gerudo,Vatorsa Snowfield,Lift Rock,Pick up the stone on the ledge,FALSE
GE-239,-3491,-0983,0612,Gerudo,Vatorsa Snowfield,Chase Lights,Lone tree at edge of cliff,FALSE
GE-240,-3751,-1081,0524,Gerudo,Vatorsa Snowfield,Flowers,Ledge near the bottom of a cliff,FALSE
GE-241,-3870,-1176,0493,Gerudo,Vatorsa Snowfield,Build Puzzle,"Northeast cliffside, solve cube structure",FALSE
GE-242,-3845,-1894,0305,Gerudo,Big Chasm,Flowers,On the top of the left cliff,FALSE
GE-243,-3898,-1643,0294,Gerudo,Gerudo Highlands,Block Puzzle,"South of Gerudo Highlands Skyview Tower, northeast of Karusa Valley area marker, on a ledge in the canyon full of the Yiga Clan's frog statues",FALSE
GE-244,-3919,-1592,0240,Gerudo,Gerudo Highlands,Offer Item,"Down the cliff, put 3 bananas on the plates",FALSE
GE-245,-3845,-1465,0366,Gerudo,Gerudo Highlands,Light Ring,On a small ledge,FALSE
GE-246,-3666,-1564,0470,Gerudo,Gerudo Highlands,Lift Rock,Grab the large boulder and walk it back the dirt path and balance it on top of the oddly shaped stump,FALSE
GE-247,-3560,-1559,0452,Gerudo,Sapphia's Table,Rock Pattern,Center of Spiral,FALSE
GE-248,-3573,-1852,0358,Gerudo,Birida Lookout,Shoot Target,On the wooden platform,FALSE
GE-249,-3580,-1986,0208,Gerudo,Birida Lookout,Shoot Target,Hanging under the stone promontory; under the pull the plug korok,FALSE
GE-250,-3584,-1989,0245,Gerudo,Birida Lookout,Pull Plug,On the stone promontory,FALSE
GE-251,-3248,-1028,0570,Gerudo,Laparoh Mesa,Shoot Target,On a ledge on side of the cliff,FALSE
GE-252,-3098,-1032,0596,Gerudo,Laparoh Mesa,Build Puzzle,Top of the mountain,FALSE
GE-253,-3165,-1038,0428,Gerudo,Laparoh Mesa,Ascend Through Stump,Under stone bridge,FALSE
GE-254,-3197,-1170,0479,Gerudo,Laparoh Mesa Crest,Find Friend,Bring him down the hill to his friend,FALSE
GE-255,-3247,-1470,0414,Gerudo,Sapphia's Table,Lift Rock,North of Sapphia's Table,FALSE
GE-256,-3208,-1856,0074,Gerudo,Zirco Mesa Crest,Block Puzzle,"Inside the crevasse, at the base of the mountain",FALSE
GE-257,-3192,-1742,0352,Gerudo,Zirco Mesa Crest,Shoot Target,On the side of the cliff,FALSE
GE-258,-3060,-1286,0500,Gerudo,Laparoh Mesa,Pull Plug,Use The Metal Plates to pull out the plug,FALSE
GE-259,-3010,-1501,0577,Gerudo,Sapphia's Table,Lift Rock,Melt the ice. Lift the rock to reveal the Korok,FALSE
GE-260,-2869,-1125,0411,Gerudo,Laparoh Mesa,Chase Lights,Top of a tree,FALSE
GE-261,-2675,-1360,0502,Gerudo,Laparoh Mesa,Ascend Through Stump,Under the stone bridge,FALSE
GE-262,-2694,-1446,0542,Gerudo,Laparoh Mesa,Light Ring,Finish the race (leads west),FALSE
GE-263,-2646,-1539,0582,Gerudo,Zirco Mesa,Rock Pattern,On top of the stone slab,FALSE
GE-264,-2817,-1651,0472,Gerudo,Taafei Hill,Pull Plug,Pull out the plug by attaching rock to end and throwing off cliff,FALSE
GE-265,-2935,-2214,0209,Gerudo,Gerudo Highlands,Flowers,At the peak,FALSE
GE-266,-2341,-1104,0144,Gerudo,Dalite Forest,Lift Rock,On top of the large tree,FALSE
GE-267,-2394,-1034,0125,Gerudo,Dalite Forest,Ascend Through Stump,Under the stone,FALSE
GE-268,-2505,-1590,0536,Gerudo,Zirco Mesa,Build Puzzle,Build a roof using the wood nearby,FALSE
GE-269,-2139,-1486,0280,Gerudo,Nephra Hill,Lift Rock,No hint for you,FALSE
GE-270,-2198,-1680,0061,Gerudo,Nephra Hill,Lift Rock,Beside the river,FALSE
GE-271,-2243,-1739,0105,Gerudo,Koukot Plateau,Lift Rock,On the small ledge above the cave entrance,FALSE
GE-272,-2329,-1824,0143,Gerudo,Koukot Plateau,Shoot Target,Under the bridge,FALSE
GE-273,-1816,-1533,0100,Gerudo,Nephra Hill,Shoot Target,Approach the pinwheel to spawn 3 balloons,FALSE
GE-274,-2484,-2054,0121,Gerudo,Gerudo Canyon,Lift Rock,At the end of the wooden rail,FALSE
GE-275,-2432,-2118,0234,Gerudo,Gerudo Canyon,Find Friend,On the lower floor of the lift,FALSE
GE-276,-2438,-2143,0264,Gerudo,Gerudo Canyon,Find Friend,On the cliff above the lift,FALSE
GE-277,-2620,-2197,0065,Gerudo,Gerudo Canyon,Chase Lights,Go where the arrows are pointing,FALSE
GE-278,-2714,-2362,0133,Gerudo,Gerudo Desert Gateway,Shoot Target,Hanging acorn under the stone bridge,FALSE
GE-279,-2050,-1995,0041,Gerudo,Gerudo Canyon,Find Friend,In the camp just upstream from his friend,FALSE
GE-280,-1984,-2080,0033,Gerudo,Gerudo Canyon,Find Friend,On the bank of the river,FALSE
GE-281,-1950,-2134,0081,Gerudo,Gerudo Canyon,Rock Pattern,On the overpass,FALSE
GE-282,-2264,-2164,0251,Gerudo,Gerudo Canyon,Burn Leaves,Small stone shelter,FALSE
GE-283,-2243,-2212,2527,Gerudo,Gerudo Canyon,Lift Rock,"East of the Skyview, close to the lower elevator",FALSE
GE-284,-2249,-2359,0275,Gerudo,Gerudo Canyon,Light Ring,"Almost right outside of Spectacle Rock Cave, just go left and climb",FALSE
GE-285,-2014,-2468,0222,Gerudo,Spectacle Rock,Shoot Target,"East of Spectacle Rock, under a stone formation",FALSE
GE-286,-1932,-2822,0152,Gerudo,Yarna Valley,Block Puzzle,On the southwestern cliffside of the Yarna Valley,FALSE
GE-287,-1709,-2341,-0014,Gerudo,Hudson Building,Find Friend,Beside the Hudson building materials post,FALSE
GE-288,-1641,-2361,0007,Gerudo,Hudson Building,Find Friend,On the cliffside,FALSE
GE-289,-1557,-2625,0230,Gerudo,Starlry Plateau,Rock Pattern,Place 2 rocks to fill grid to match neighboring grid of rocks,FALSE
GE-290,-1945,-3184,0127,Gerudo,Champion Gate,Lift Rock,Tiny rock on big rock,FALSE
GE-291,-1605,-3090,0201,Gerudo,East Gerudo Mesa,Build Puzzle,Fuse nearby rock to the cork and toss it over the cliff,FALSE
GE-292,-1427,-2976,0271,Gerudo,East Gerudo Mesa,Ascend Through Stump,Under a natural arch,FALSE
GE-293,-1795,-3577,0121,Gerudo,South Lomei Labyrinth,Shoot Target,On the center of the southern wall of the South Lomei Labyrinth,FALSE
GE-294,-1369,-3724,0395,Gerudo,Daval Peak,Rock Pattern,Gerudo Highlands South of Daval Peak,FALSE
GE-295,-1452,-3638,0436,Gerudo,Daval Peak,Block Puzzle,At the southwestern end of the area of Daval Peak,FALSE
GE-296,-1385,-3492,0434,Gerudo,Mount Granajh,Lift Rock,On the southern end of Mount Granajh,FALSE
GE-297,-1179,-3509,0217,Gerudo,Mount Granajh,Chase Lights,On top of the stone,FALSE
GE-298,-1152,-3304,0276,Gerudo,Mount Granajh,Block Puzzle,On a ledge on Mount Granajh's northeastern cliffside,FALSE
GE-299,-0994,-3254,0251,Gerudo,Oseria Plains,Flowers,On the top of the tall rock formation between Mount Granajh and Zokassa Ridge,FALSE
HR-300,-4074,0034,0056,Central Hyrule,Tanagar Canyon,Find Friend,Bring his friend back,FALSE
HR-301,-3584,0012,0069,Central Hyrule,Tanagar Canyon,Find Friend,On the edge of a slope north of Turakawak Shrine,FALSE
HR-302,-3467,-0167,0066,Central Hyrule,Lake Illumeni,Build Puzzle,Place board on top of structure to complete roof,FALSE
HR-303,-3132,-0112,0209,Central Hyrule,Illumeni Plateau,Lift Rock,Lift the rock,FALSE
HR-304,-3208,0334,-0099,Central Hyrule,Tanagar Canyon,Ascend Through Stump,"Stand on the stump, and use Ascend to beat the timer",FALSE
HR-305,-3108,0240,0111,Central Hyrule,Illumeni Plateau,Flowers,Follow the flowers,FALSE
HR-306,-3018,1103,0205,Central Hyrule,Illumeni Plateau,Find Friend,Bring his friend back,FALSE
HR-307,-2960,0087,0143,Central Hyrule,Illumeni Plateau,Find Friend,Take the korok to his friend located up hills,FALSE
